Column Name,Data Value
College Name,Ethiraj College for Women
Type,Autonomous Women’s College (Affiliated to University of Madras)
About,"One of the premier women’s colleges in Chennai offering UG, PG and Doctoral programs in Arts, Science, Commerce, Management and Computer Applications with strong academic reputation and placement record."
Established,1948
Location,"Egmore, Chennai – 600008, Tamil Nadu, India"
Accreditation,NAAC A+ Grade
RANKING & REPUTATION,Among top women’s colleges in Tamil Nadu
PLACEMENT DATA,75–90% placement (varies by department)
STUDENT CLUBS,"NSS, NCC, Rotaract, Women Development Cell, Literary Club, Commerce Association, Science Forum, Cultural Club"
Courses Offered,"UG, PG & Ph.D Programmes"
Hostel Available,Yes
Average Package,₹3 – 5 LPA
Admission Mode,Merit-Based
Popular Courses,"B.Com, B.Sc Computer Science, BBA, M.Com, MBA, M.Sc Biochemistry"
Course,Course (split) batch,Duration,Stream,Specialization,Annual Fees (₹)
B.A Economics,UG,3 Years,Arts,Economics,"35,000"
B.A History,UG,3 Years,Arts,History,"30,000"
B.A English,UG,3 Years,Arts,English,"40,000"
B.A Tourism & Travel Management,UG,3 Years,Arts,Tourism & Travel Management,"45,000"
B.A Business Economics,UG,3 Years,Arts,Business Economics,"45,000"
B.Sc Advanced Zoology & Biotechnology,UG,3 Years,Science,Advanced Zoology & Biotechnology,"55,000"
B.Sc Chemistry,UG,3 Years,Science,Chemistry,"45,000"
B.Sc Plant Biology & Biotechnology,UG,3 Years,Science,Plant Biology & Biotechnology,"55,000"
B.Sc Physics,UG,3 Years,Science,Physics,"45,000"
B.Sc Mathematics,UG,3 Years,Science,Mathematics,"40,000"
B.Sc Computer Science,UG,3 Years,Science,Computer Science,"70,000"
B.Sc Biochemistry,UG,3 Years,Science,Biochemistry,"65,000"
B.Sc Microbiology,UG,3 Years,Science,Microbiology,"65,000"
B.Sc Psychology,UG,3 Years,Science,Psychology,"60,000"
B.Sc Clinical Nutrition & Dietetics,UG,3 Years,Science,Clinical Nutrition & Dietetics,"70,000"
B.Sc Visual Communication,UG,3 Years,Science,Visual Communication,"75,000"
B.Sc Mathematics with Computer Application,UG,3 Years,Science,Mathematics with Computer Application,"75,000"
B.Sc Mathematics with Data Science,UG,3 Years,Science,Mathematics with Data Science,"80,000"
B.Com General,UG,3 Years,Commerce,General,"50,000"
B.Com Corporate Secretaryship,UG,3 Years,Commerce,Corporate Secretaryship,"55,000"
B.Com Bank Management,UG,3 Years,Commerce,Bank Management,"60,000"
B.Com Accounting & Finance,UG,3 Years,Commerce,Accounting & Finance,"65,000"
B.Com Honours,UG,3 Years,Commerce,Honours,"75,000"
BBA Business Administration,UG,3 Years,Management,Business Administration,"75,000"
BCA General,UG,3 Years,Computer Applications,General,"80,000"
M.A Economics,PG,2 Years,Arts,Economics,"45,000"
M.A English,PG,2 Years,Arts,English,"50,000"
M.A History,PG,2 Years,Arts,History,"40,000"
M.A Tamil,PG,2 Years,Arts,Tamil,"35,000"
M.A Business Economics,PG,2 Years,Arts,Business Economics,"50,000"
M.A Journalism & Communication,PG,2 Years,Arts,Journalism & Communication,"60,000"
M.A Human Resources Management,PG,2 Years,Arts,Human Resources Management,"55,000"
M.A Human Rights & Duties Education,PG,2 Years,Arts,Human Rights & Duties Education,"45,000"
M.Sc Zoology,PG,2 Years,Science,Zoology,"60,000"
M.Sc Chemistry,PG,2 Years,Science,Chemistry,"55,000"
M.Sc Plant Biology & Biotechnology,PG,2 Years,Science,Plant Biology & Biotechnology,"65,000"
M.Sc Mathematics,PG,2 Years,Science,Mathematics,"50,000"
M.Sc Physics,PG,2 Years,Science,Physics,"55,000"
M.Sc Computer Science,PG,2 Years,Science,Computer Science,"85,000"
M.Sc Biochemistry,PG,2 Years,Science,Biochemistry,"80,000"
M.Sc Applied Microbiology,PG,2 Years,Science,Applied Microbiology,"80,000"
M.Sc Applied Psychology,PG,2 Years,Science,Applied Psychology,"75,000"
M.Sc Food & Nutrition,PG,2 Years,Science,Food & Nutrition,"75,000"
M.Com General,PG,2 Years,Commerce,General,"55,000"
M.Com Corporate Secretaryship,PG,2 Years,Commerce,Corporate Secretaryship,"65,000"
M.Com Banking & Insurance Management,PG,2 Years,Commerce,Banking & Insurance Management,"65,000"
MBA Business Administration,PG,2 Years,Management,Business Administration,"1,20,000"
MCA General,PG,2 Years,Computer Applications,General,"1,10,000"
Ph.D Economics,Doctorate,3–5 Years,Arts,Economics,"70,000"
Ph.D History,Doctorate,3–5 Years,Arts,History,"65,000"
Ph.D Zoology,Doctorate,3–5 Years,Science,Zoology,"75,000"
Ph.D Commerce,Doctorate,3–5 Years,Commerce,Commerce,"75,000"
Ph.D English,Doctorate,3–5 Years,Arts,English,"70,000"
Ph.D Chemistry,Doctorate,3–5 Years,Science,Chemistry,"80,000"
Ph.D Physics,Doctorate,3–5 Years,Science,Physics,"80,000"
Ph.D Mathematics,Doctorate,3–5 Years,Science,Mathematics,"75,000"
