Column Name,Data Value
College Name,Loyola College
Type,Autonomous College (Affiliated to University of Madras)
About,"Premier co-educational arts and science college in Chennai (historically for men, admitting women in PG and specific UG programs), offering UG, PG and Ph.D programs with strong academic and placement support."
Established,1925
Location,"Nungambakkam, Chennai – 600034, Tamil Nadu, India"
Accreditation,NAAC A++ Grade
RANKING & REPUTATION,Among top-ranked arts & science colleges in India
PLACEMENT DATA,80–95% placement (varies by department)
STUDENT CLUBS,"NSS, NCC, Rotaract, Cultural Club, Science Forum, Commerce Association, IT Club, Women Empowerment Cell"
Courses Offered,"UG, PG, Vocational & Ph.D. Programs"
Hostel Available,Yes (Limited seats for outstation students)
Average Package,₹3 – 6 LPA
Admission Mode,Merit-Based / Counseling
Popular Courses,"B.A Economics, B.Sc Computer Science, B.Com Honours, BBA, M.Sc Data Science, M.Com"
Course,Course (split) batch,Duration,Stream,Specialization,Annual Fees (₹)
B.A Economics,UG (Shift I),3 Years,Arts,Economics,"30,000"
B.A English,UG (Shift I),3 Years,Arts,English,"30,000"
B.A History,UG (Shift I),3 Years,Arts,History,"30,000"
B.A Sociology,UG (Shift I),3 Years,Arts,Sociology,"30,000"
B.A Tamil,UG (Shift I),3 Years,Arts,Tamil,"30,000"
B.Com General,UG (Shift I),3 Years,Commerce,General,"35,000"
B.Sc Advanced Zoology & Biotechnology,UG (Shift I),3 Years,Science,Advanced Zoology & Biotechnology,"40,000"
B.Sc Chemistry,UG (Shift I),3 Years,Science,Chemistry,"35,000"
B.Sc Mathematics,UG (Shift I),3 Years,Science,Mathematics,"35,000"
B.Sc Physics,UG (Shift I),3 Years,Science,Physics,"35,000"
B.Sc Plant Biology & Plant Biotechnology,UG (Shift I),3 Years,Science,Plant Biology & Plant Biotechnology,"40,000"
B.Sc Statistics,UG (Shift I),3 Years,Science,Statistics,"35,000"
B.Sc Visual Communication,UG (Shift I),3 Years,Science,Visual Communication,"40,000"
B.A Economics,UG (Shift II),3 Years,Arts,Economics,"80,000"
B.A English,UG (Shift II),3 Years,Arts,English,"80,000"
B.A French Literature,UG (Shift II),3 Years,Arts,French Literature,"85,000"
B.A History,UG (Shift II),3 Years,Arts,History,"80,000"
B.B.A Business Administration,UG (Shift II),3 Years,Management,Business Administration,"85,000"
B.Com Corporate Secretaryship,UG (Shift II),3 Years,Commerce,Corporate Secretaryship,"85,000"
B.Com General,UG (Shift II),3 Years,Commerce,General,"80,000"
B.Com Accounting & Finance,UG (Shift II),3 Years,Commerce,Accounting & Finance,"90,000"
B.Com Computer Applications,UG (Shift II),3 Years,Commerce,Computer Applications,"90,000"
B.Com Honours,UG (Shift II),3 Years,Commerce,Honours,"95,000"
B.C.A Computer Applications,UG (Shift II),3 Years,Computer Applications,General,"85,000"
B.Sc Computer Science,UG (Shift II),3 Years,Science,Computer Science,"90,000"
B.Sc Chemistry,UG (Shift II),3 Years,Science,Chemistry,"80,000"
B.Sc Mathematics,UG (Shift II),3 Years,Science,Mathematics,"80,000"
B.Sc Physics,UG (Shift II),3 Years,Science,Physics,"80,000"
B.Sc Visual Communication,UG (Shift II),3 Years,Science,Visual Communication,"85,000"
B.M.M Multimedia & Animation,UG (Shift II),3 Years,Vocational,Multimedia & Animation,"90,000"
B.Voc 3D Animation,UG (Shift II),3 Years,Vocational,3D Animation,"1,00,000"
B.Voc Digital Journalism,UG (Shift II),3 Years,Vocational,Digital Journalism,"1,00,000"
M.A Economics,PG (Shift I),2 Years,Arts,Economics,"35,000"
M.A English,PG (Shift I),2 Years,Arts,English,"35,000"
M.A Social Work,PG (Shift I),2 Years,Arts,Social Work,"35,000"
M.Com General,PG (Shift I),2 Years,Commerce,General,"35,000"
M.Sc Chemistry,PG (Shift I),2 Years,Science,Chemistry,"35,000"
M.Sc Mathematics,PG (Shift I),2 Years,Science,Mathematics,"35,000"
M.Sc Physics,PG (Shift I),2 Years,Science,Physics,"35,000"
M.Sc Statistics,PG (Shift I),2 Years,Science,Statistics,"35,000"
M.Sc Zoology,PG (Shift I),2 Years,Science,Zoology,"35,000"
M.A Applied History,PG (Shift II),2 Years,Arts,Applied History,"80,000"
M.A Philosophy,PG (Shift II),2 Years,Arts,Philosophy,"80,000"
M.A Social Work,PG (Shift II),2 Years,Arts,Social Work,"80,000"
M.A Sociology,PG (Shift II),2 Years,Arts,Sociology,"80,000"
M.Sc Data Science,PG (Shift II),2 Years,Science,Data Science,"1,00,000"
M.Sc Bio-Technology,PG (Shift II),2 Years,Science,Bio-Technology,"95,000"
M.Sc Computer Science,PG (Shift II),2 Years,Science,Computer Science,"1,00,000"
M.Sc Food Chemistry & Processing,PG (Shift II),2 Years,Science,Food Chemistry & Food Processing,"95,000"
M.Sc Visual Communication,PG (Shift II),2 Years,Science,Visual Communication,"95,000"
M.Voc 3D Animation,PG (Shift II),2 Years,Vocational,3D Animation,"1,05,000"
M.Voc Digital Journalism,PG (Shift II),2 Years,Vocational,Digital Journalism,"1,05,000"
Ph.D Economics,Doctorate,3–5 Years,Arts,Economics,"50,000"
Ph.D English,Doctorate,3–5 Years,Arts,English,"50,000"
Ph.D History,Doctorate,3–5 Years,Arts,History,"50,000"
Ph.D Social Work,Doctorate,3–5 Years,Arts,Social Work,"50,000"
Ph.D Tamil,Doctorate,3–5 Years,Arts,Tamil,"50,000"
Ph.D Commerce,Doctorate,3–5 Years,Commerce,Commerce,"50,000"
Ph.D Chemistry,Doctorate,3–5 Years,Science,Chemistry,"50,000"
Ph.D Entomology,Doctorate,3–5 Years,Science,Entomology,"50,000"
Ph.D Mathematics,Doctorate,3–5 Years,Science,Mathematics,"50,000"
Ph.D Physics,Doctorate,3–5 Years,Science,Physics,"50,000"
Ph.D Plant Biology & Biotechnology,Doctorate,3–5 Years,Science,Plant Biology & Plant Biotechnology,"50,000"
Ph.D Statistics,Doctorate,3–5 Years,Science,Statistics,"50,000"
Ph.D Zoology,Doctorate,3–5 Years,Science,Zoology,"50,000"
