Column Name,Data Value
College Name,SSN College of Engineering
Type,Autonomous Private Engineering College
About,"Founded by educationist and philanthropist Shiv Nadar, SSN is one of Tamil Nadu’s top engineering institutions known for academic excellence, strong industry connections, research focus, and high placement records."
Established,1996
Location,"Kalavakkam (OMR), Chennai, Tamil Nadu, India"
Accreditation,"NAAC A++ Grade, NBA Accredited Programs, Affiliated to Anna University"
RANKING & REPUTATION,"Consistently ranked among Top Private Engineering Colleges in Tamil Nadu; strong reputation in CSE, ECE & IT."
PLACEMENT DATA,"90–95% placement rate, Top recruiters: Amazon, Microsoft, TCS, Infosys, Zoho, Cognizant, etc."
STUDENT CLUBS,"NSS, NCC, IEEE, Coding Club, Entrepreneurship Cell, Rotaract, Cultural Clubs, Technical Symposium Teams"
Courses Offered,"B.E., B.Tech, M.E., M.Tech, Integrated M.Tech (Lateral Entry available)"
Hostel Available,Yes (Separate for Boys & Girls)
Average Package,"₹6 – ₹8 LPA (CSE higher, highest packages can exceed ₹40+ LPA)"
Admission Mode,"TNEA Counselling (Government Quota), Management Quota, Lateral Entry"
Popular Courses,"CSE, IT, ECE, Biomedical Engineering"
Course,Course (split) batch,Duration,Stream,Specialization,Annual Fees (₹)
B.E. Computer Science & Engineering [Govt Quota],UG,4 Years,Engineering,CSE,"50,000"
B.E. Computer Science & Engineering [Mgmt Quota],UG,4 Years,Engineering,CSE,"2,00,000"
B.Tech Information Technology [Govt Quota],UG,4 Years,Engineering,IT,"50,000"
B.Tech Information Technology [Mgmt Quota],UG,4 Years,Engineering,IT,"2,00,000"
B.E. Electronics & Communication Engineering [Govt Quota],UG,4 Years,Engineering,ECE,"50,000"
B.E. Electronics & Communication Engineering [Mgmt Quota],UG,4 Years,Engineering,ECE,"2,00,000"
B.E. Electrical & Electronics Engineering [Govt Quota],UG,4 Years,Engineering,EEE,"50,000"
B.E. Electrical & Electronics Engineering [Mgmt Quota],UG,4 Years,Engineering,EEE,"2,00,000"
B.E. Mechanical Engineering [Govt Quota],UG,4 Years,Engineering,Mechanical,"50,000"
B.E. Mechanical Engineering [Mgmt Quota],UG,4 Years,Engineering,Mechanical,"2,00,000"
B.Tech Chemical Engineering [Govt Quota],UG,4 Years,Engineering,Chemical,"50,000"
B.Tech Chemical Engineering [Mgmt Quota],UG,4 Years,Engineering,Chemical,"2,00,000"
B.E. Biomedical Engineering [Govt Quota],UG,4 Years,Engineering,Biomedical,"50,000"
B.E. Biomedical Engineering [Mgmt Quota],UG,4 Years,Engineering,Biomedical,"2,00,000"
B.E. Civil Engineering [Govt Quota],UG,4 Years,Engineering,Civil,"50,000"
B.E. Civil Engineering [Mgmt Quota],UG,4 Years,Engineering,Civil,"2,00,000"
M.E. Computer Science & Engineering,PG,2 Years,Engineering,CSE,"80,000"
M.Tech Information Technology,PG,2 Years,Engineering,IT,"80,000"
M.E. Communication Systems,PG,2 Years,Engineering,Communication,"80,000"
M.E. VLSI Design,PG,2 Years,Engineering,VLSI,"80,000"
M.E. Power Electronics & Drives,PG,2 Years,Engineering,Power Electronics,"80,000"
M.E. Manufacturing Engineering,PG,2 Years,Engineering,Manufacturing,"80,000"
M.Tech Energy Engineering,PG,2 Years,Engineering,Energy,"80,000"
M.E. Medical Electronics,PG,2 Years,Engineering,Medical Electronics,"80,000"
M.Tech Environmental Science & Technology,PG,2 Years,Engineering,Environmental,"80,000"
Integrated M.Tech Computer Science & Engineering,UG+PG,5 Years,Engineering,Computer Science & Engineering,"1,75,000"
